feature_set,n_features,C,penalty,class_weight_name,auc,pr_auc,top30_cutoff,top30_flagged,top30_precision,top30_recall,top30_balanced_acc
lean_behavior,13,0.2,l2,balanced,0.9226907630522088,0.8545716460100022,0.3720112837257204,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.1,l2,balanced,0.9206827309236947,0.8556370359340878,0.419198559628503,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
lean_behavior,13,0.05,l2,pos_7,0.9196787148594378,0.8539764079147641,0.4277576448137839,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,1.0,l1,pos_4,0.9196787148594376,0.844430235862461,0.08859053708103742,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,1.0,l1,pos_7,0.9186746987951807,0.8376120540442792,0.09486391428887546,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,1.0,l1,balanced,0.9166666666666666,0.8423942324677619,0.15003374653554502,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.5,l1,pos_7,0.9166666666666665,0.8372366786689037,0.16668072311295853,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.05,l2,pos_4,0.9156626506024097,0.833037855726212,0.3914052831709505,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,1.0,l2,pos_4,0.9156626506024096,0.8258812383812385,0.14730037591296122,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.1,l2,pos_4,0.9146586345381527,0.829894232467762,0.32581436386252643,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,1.0,l2,pos_7,0.9146586345381527,0.8234445912077492,0.1733154737436095,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.1,l2,balanced,0.9146586345381525,0.8288315489402447,0.40813718444536223,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.03,l2,pos_7,0.9146586345381525,0.828598484848485,0.46235328724224345,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.2,l2,pos_7,0.9136546184738957,0.8197255816741111,0.3065065069203886,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.05,l2,balanced,0.9136546184738956,0.8270707070707072,0.4618741332258667,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.5,l2,balanced,0.9136546184738956,0.8191848098098099,0.27830235249265955,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.5,l2,pos_4,0.9136546184738956,0.8191848098098099,0.19539097343060985,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.5,l2,pos_7,0.9136546184738956,0.8191848098098099,0.21333658437881164,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,1.0,l2,balanced,0.9136546184738956,0.8191848098098099,0.2044674441511705,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.5,l1,pos_4,0.9136546184738955,0.8405108359133128,0.1542824660281522,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.05,l2,pos_7,0.9136546184738955,0.8243870359340878,0.4198406441922811,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.2,l2,pos_4,0.9126506024096387,0.8177414546899842,0.2632610909100572,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.1,l2,pos_7,0.9126506024096386,0.8215343915343917,0.3679197359971874,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.2,l2,balanced,0.9126506024096386,0.8215343915343917,0.34833568014752486,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.03,l2,pos_4,0.9116465863453815,0.8236763236763238,0.42496317239815073,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,1.0,l1,pos_7,0.9116465863453815,0.7972573533338675,0.11625686718166907,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.5,l1,balanced,0.9116465863453814,0.8280108359133128,0.24168135754430708,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.03,l2,balanced,0.9076305220883534,0.7907898428731763,0.4908620968145623,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.05,l1,pos_7,0.9066265060240963,0.8128168944345416,0.5043352863746696,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.2,l1,pos_7,0.9066265060240963,0.797268617458491,0.27811251767348844,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior_plus_named_events,29,0.1,l1,balanced,0.9056224899598393,0.810634354752002,0.5045728211440741,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,1.0,l1,pos_4,0.9056224899598393,0.7732043650793651,0.10505577557232716,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.5,l1,pos_4,0.9056224899598393,0.7657383357383358,0.1787745589269621,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
refined_behavior,19,0.5,l1,pos_7,0.9046184738955823,0.7568097643097643,0.18936003726194137,29,0.3793103448275862,0.9166666666666666,0.8498995983935742
