feature_set,n_features,C,penalty,class_weight_name,auc,pr_auc,top30_cutoff,top30_flagged,top30_precision,top30_recall,top30_balanced_acc,outer_fold
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9103942652329748,0.836356055868251,0.2731000152549089,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,38
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9444444444444444,0.7572246996160039,0.3406545468069632,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,39
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9372759856630825,0.7467320261437909,0.27089690698033664,23,0.34782608695652173,0.8888888888888888,0.8234767025089605,39
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9229390681003584,0.7344185583432896,0.20212531542565537,23,0.34782608695652173,0.8888888888888888,0.8234767025089605,39
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9153439153439153,0.8435563114134543,0.291214284364578,22,0.36363636363636365,0.8888888888888888,0.8333333333333333,40
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9135802469135802,0.8216991341991342,0.34620490847359103,22,0.36363636363636365,0.8888888888888888,0.8333333333333333,40
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9065255731922399,0.7919973544973546,0.39708324573358683,22,0.36363636363636365,0.8888888888888888,0.8333333333333333,40
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9032258064516129,0.6894809438927085,0.4127039286679561,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,41
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9014336917562724,0.6808922558922559,0.3591997091969664,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,41
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.8996415770609318,0.6945165945165945,0.29802912736135284,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,41
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.8799283154121864,0.7605372405372406,0.36585685803108653,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,42
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.8727598566308243,0.736931216931217,0.40074721045474165,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,42
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.8727598566308243,0.7178097234701009,0.31255047045458567,22,0.3181818181818182,0.7777777777777778,0.7679211469534051,42
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9534050179211468,0.876955034213099,0.31482322024415155,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,43
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9444444444444444,0.8338955026455028,0.382825656018056,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,43
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9372759856630823,0.8669753086419754,0.2327189755444786,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,43
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.980599647266314,0.9388888888888889,0.301529584442944,22,0.4090909090909091,1.0,0.8968253968253967,44
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9753086419753085,0.9102733686067019,0.3487372633678627,22,0.4090909090909091,1.0,0.8968253968253967,44
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9700176366843033,0.8737213403880071,0.39420816058515185,22,0.4090909090909091,1.0,0.8968253968253967,44
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.8566308243727598,0.7286556036556036,0.42074660829067295,22,0.2727272727272727,0.6666666666666666,0.7043010752688172,45
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.8530465949820789,0.6834175084175085,0.4798187582929098,22,0.2727272727272727,0.6666666666666666,0.7043010752688172,45
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.8369175627240143,0.7095982537159008,0.34083939602483365,22,0.2727272727272727,0.6666666666666666,0.7043010752688172,45
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9301075268817205,0.7726088726088726,0.2618374145405364,24,0.3333333333333333,0.8888888888888888,0.8154121863799283,46
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9301075268817204,0.7769841269841269,0.3817522395976614,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,46
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9301075268817203,0.7769841269841269,0.3094459448449721,25,0.32,0.8888888888888888,0.807347670250896,46
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9910394265232975,0.9534662867996202,0.27691542184255996,22,0.4090909090909091,1.0,0.8951612903225806,47
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9767025089605735,0.8876474832357186,0.3372769261574603,22,0.4090909090909091,1.0,0.8951612903225806,47
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.9623655913978495,0.852935033662588,0.4034112218802985,22,0.4090909090909091,1.0,0.8951612903225806,47
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9135802469135803,0.8043771043771044,0.3294821498430816,22,0.3181818181818182,0.7777777777777778,0.7698412698412698,48
refined_behavior_plus_named_events,29,0.2,l2,pos_4,0.9135802469135803,0.7983281086729364,0.2920600450072421,23,0.30434782608695654,0.7777777777777778,0.7619047619047619,48
refined_behavior_plus_named_events,29,0.05,l2,pos_4,0.908289241622575,0.8018518518518518,0.38286201102399864,22,0.3181818181818182,0.7777777777777778,0.7698412698412698,48
refined_behavior_plus_named_events,29,0.1,l2,pos_4,0.9175627240143369,0.8321428571428573,0.3498268418455474,22,0.36363636363636365,0.8888888888888888,0.8315412186379928,49
