device_label,first_day,channel_segment,device,country_group,acquisition_source,early_tracked_events,early_actions,deliberate_share,early_action_kinds,early_area_count,early_event_name_count,early_ga_auto_events,early_entry_auth_events,early_connect_ok_events,early_connect_fail_events,early_connect_other_events,early_other_tracking_events,ga_auto_share,entry_auth_share,other_tracking_share,early_nature_events,early_fishing_sea_events,early_quest_social_events,early_craft_home_events,early_advanced_events,early_chop_tree_events,early_mine_ore_events,early_npc_talk_events,early_tutorial_step_events,early_quest_offered_events,early_churn_score_events,early_session_summary_events,early_session_time_events,early_econ_tx_events,early_zone_enter_events,later_actions,later_action_kinds,later_area_count,later_nature_events,later_fishing_sea_events,later_quest_social_events,later_craft_home_events,later_advanced_events,later_active,split_segment,feature_boundary_violations,label_boundary_violations
D041,2026-09-04,메인·웹만,desktop,South Korea,(direct),103,1,0.009708737864077669,1,1,19,10,7,0,0,0,85,0.0970873786407767,0.06796116504854369,0.8252427184466019,0,0,0,0,1,0,0,0,0,0,0,52,3,3,0,1,1,1,0,1,0,0,0,True,고밀도+의도행동 적음,0,0
D042,2026-09-10,메인·웹만,mobile,South Korea,ig,18,0,0.0,0,0,18,4,2,0,0,0,12,0.2222222222222222,0.1111111111111111,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D043,2026-09-09,메인·웹만,mobile,Other,m.facebook.com,5,0,0.0,0,0,5,4,0,0,0,0,1,0.8,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D044,2026-09-04,토스 관측,mobile,South Korea,(direct),42,14,0.3333333333333333,4,2,25,7,3,1,0,0,17,0.16666666666666666,0.07142857142857142,0.40476190476190477,13,1,0,0,0,9,0,0,3,0,0,2,0,1,1,317,18,5,251,3,35,10,18,True,고밀도+의도행동 많음,0,0
D045,2026-09-10,메인·웹만,desktop,United States,(direct),5,0,0.0,0,0,5,4,1,0,0,0,0,0.8,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D046,2026-09-11,토스 관측,mobile,South Korea,(direct),111,55,0.4954954954954955,12,4,37,5,2,0,0,0,49,0.04504504504504504,0.018018018018018018,0.44144144144144143,40,0,8,6,1,36,0,4,8,2,9,1,0,10,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 많음,0,0
D047,2026-09-07,메인·웹만,desktop,United States,(direct),4,0,0.0,0,0,4,4,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D048,2026-09-09,메인·웹만,mobile,South Korea,(direct),6,0,0.0,0,0,6,5,1,0,0,0,0,0.8333333333333334,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D049,2026-09-05,토스 관측,mobile,South Korea,(direct),24,0,0.0,0,0,21,5,3,0,4,0,12,0.20833333333333334,0.125,0.5,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 적음,0,0
D050,2026-09-06,토스 관측,mobile,South Korea,(direct),50,21,0.42,4,3,29,4,1,0,0,0,24,0.08,0.02,0.48,19,1,0,1,0,18,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,False,고밀도+의도행동 많음,0,0
D051,2026-09-05,토스 관측,mobile,South Korea,(direct),21,0,0.0,0,0,18,5,3,0,4,0,9,0.23809523809523808,0.14285714285714285,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 적음,0,0
D052,2026-09-11,메인·웹만,desktop,South Korea,(direct),6,0,0.0,0,0,6,4,1,0,0,0,1,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D053,2026-09-04,메인·웹만,mobile,South Korea,(direct),16,0,0.0,0,0,16,4,1,0,0,0,11,0.25,0.0625,0.6875,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D054,2026-09-05,메인·웹만,desktop,Other,(direct),3,0,0.0,0,0,3,3,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D055,2026-09-04,토스 관측,mobile,South Korea,(direct),29,4,0.13793103448275862,4,1,24,5,2,1,0,0,17,0.1724137931034483,0.06896551724137931,0.5862068965517241,4,0,0,0,0,1,0,0,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,False,고밀도+의도행동 적음,0,0
D056,2026-09-05,메인·웹만,desktop,United States,(direct),5,0,0.0,0,0,5,4,1,0,0,0,0,0.8,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D057,2026-09-04,토스 관측,mobile,South Korea,(direct),18,0,0.0,0,0,18,4,2,1,0,0,11,0.2222222222222222,0.1111111111111111,0.6111111111111112,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D058,2026-09-04,토스 관측,mobile,South Korea,(direct),26,7,0.2692307692307692,2,1,19,4,1,0,1,0,13,0.15384615384615385,0.038461538461538464,0.5,7,0,0,0,0,6,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 많음,0,0
D059,2026-09-04,토스 관측,mobile,South Korea,(direct),13,0,0.0,0,0,13,5,1,1,0,0,6,0.38461538461538464,0.07692307692307693,0.46153846153846156,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D060,2026-09-04,토스 관측,mobile,South Korea,(direct),18,0,0.0,0,0,18,4,2,1,0,0,11,0.2222222222222222,0.1111111111111111,0.6111111111111112,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D061,2026-09-10,메인·웹만,desktop,South Korea,(direct),8,0,0.0,0,0,5,6,2,0,0,0,0,0.75,0.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D062,2026-09-10,토스 관측,mobile,South Korea,(direct),12,0,0.0,0,0,11,4,1,0,2,0,5,0.3333333333333333,0.08333333333333333,0.4166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D063,2026-09-10,메인·웹만,mobile,South Korea,(direct),4,0,0.0,0,0,4,4,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D064,2026-09-04,토스 관측,mobile,South Korea,(direct),12,0,0.0,0,0,12,4,1,1,0,0,6,0.3333333333333333,0.08333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D065,2026-09-10,메인·웹만,desktop,South Korea,(direct),6,0,0.0,0,0,6,4,1,0,0,0,1,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D066,2026-09-04,토스 관측,mobile,South Korea,(direct),16,0,0.0,0,0,16,4,1,1,0,0,10,0.25,0.0625,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D067,2026-09-05,토스 관측,mobile,South Korea,(direct),61,5,0.08196721311475409,3,2,29,8,6,0,5,0,37,0.13114754098360656,0.09836065573770492,0.6065573770491803,0,0,4,0,1,0,0,2,1,2,0,1,4,1,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 적음,0,0
D068,2026-09-10,토스 관측,mobile,South Korea,(direct),90,38,0.4222222222222222,7,4,34,6,2,0,0,0,44,0.06666666666666667,0.022222222222222223,0.4888888888888889,25,0,10,2,1,24,0,5,1,5,11,2,2,3,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 많음,0,0
D069,2026-09-05,토스 관측,mobile,South Korea,(direct),11,0,0.0,0,0,11,4,1,1,0,0,5,0.36363636363636365,0.09090909090909091,0.45454545454545453,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D070,2026-09-05,토스 관측,mobile,South Korea,(direct),13,0,0.0,0,0,13,5,2,0,1,0,5,0.38461538461538464,0.15384615384615385,0.38461538461538464,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D071,2026-09-10,메인·웹만,desktop,South Korea,(direct),5,0,0.0,0,0,5,4,1,0,0,0,0,0.8,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D072,2026-09-09,메인·웹만,desktop,South Korea,(direct),28,0,0.0,0,0,8,14,6,0,0,0,8,0.5,0.21428571428571427,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,2,1,0,0,7,0,0,True,고밀도+의도행동 적음,0,0
D073,2026-09-09,메인·웹만,desktop,South Korea,(direct),6,0,0.0,0,0,6,4,1,0,0,0,1,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D074,2026-09-11,토스 관측,mobile,South Korea,(direct),20,2,0.1,2,1,20,4,3,0,1,0,10,0.2,0.15,0.5,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 적음,0,0
D075,2026-09-04,메인·웹만,desktop,South Korea,(direct),5,0,0.0,0,0,5,4,1,0,0,0,0,0.8,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D076,2026-09-08,토스 관측,mobile,South Korea,(direct),52,7,0.1346153846153846,5,3,28,8,5,0,3,0,29,0.15384615384615385,0.09615384615384616,0.5576923076923077,5,0,1,1,0,3,0,1,6,1,2,1,4,2,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 많음,0,0
D077,2026-09-11,메인·웹만,desktop,South Korea,(direct),7,0,0.0,0,0,5,6,1,0,0,0,0,0.8571428571428571,0.14285714285714285,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D078,2026-09-11,메인·웹만,desktop,South Korea,pwa,5,0,0.0,0,0,5,4,1,0,0,0,0,0.8,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D079,2026-09-04,토스 관측,mobile,South Korea,(direct),49,15,0.30612244897959184,6,2,26,5,2,1,0,0,26,0.10204081632653061,0.04081632653061224,0.5306122448979592,5,0,10,0,0,1,0,5,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 많음,0,0
D080,2026-09-04,토스 관측,mobile,South Korea,(direct),23,3,0.13043478260869565,3,2,22,4,1,1,0,0,14,0.17391304347826086,0.043478260869565216,0.6086956521739131,0,0,2,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,False,고밀도+의도행동 적음,0,0
D081,2026-09-10,메인·웹만,desktop,Other,(direct),6,0,0.0,0,0,6,4,1,0,0,0,1,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D082,2026-09-05,메인·웹만,desktop,United States,(direct),4,0,0.0,0,0,4,4,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D083,2026-09-09,메인·웹만,mobile,Other,m.facebook.com,5,0,0.0,0,0,5,4,0,0,0,0,1,0.8,0.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D084,2026-09-10,토스 관측,mobile,South Korea,(direct),51,17,0.3333333333333333,3,2,22,5,1,0,0,0,28,0.09803921568627451,0.0196078431372549,0.5490196078431373,8,0,9,0,0,0,0,7,0,5,10,1,0,1,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 많음,0,0
D085,2026-09-11,메인·웹만,mobile,South Korea,ig,4,0,0.0,0,0,4,4,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D086,2026-09-10,토스 관측,mobile,South Korea,(direct),19,0,0.0,0,0,19,5,2,0,0,0,12,0.2631578947368421,0.10526315789473684,0.631578947368421,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D087,2026-09-07,메인·웹만,desktop,United States,(direct),3,0,0.0,0,0,3,3,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D088,2026-09-04,토스 관측,mobile,South Korea,(direct),14,0,0.0,0,0,14,4,1,1,0,0,8,0.2857142857142857,0.07142857142857142,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D089,2026-09-04,토스 관측,mobile,South Korea,(direct),28,4,0.14285714285714285,2,1,22,5,1,1,0,0,17,0.17857142857142858,0.03571428571428571,0.6071428571428571,0,0,4,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 적음,0,0
D090,2026-09-09,토스 관측,mobile,South Korea,(direct),58,18,0.3103448275862069,9,4,31,5,2,0,0,0,33,0.08620689655172414,0.034482758620689655,0.5689655172413793,9,0,6,1,2,4,0,4,8,2,7,1,0,2,0,0,0,0,0,0,0,0,0,False,고밀도+의도행동 많음,0,0
D091,2026-09-04,토스 관측,mobile,South Korea,(direct),12,0,0.0,0,0,12,4,1,1,0,0,6,0.3333333333333333,0.08333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D092,2026-09-09,토스 관측,mobile,South Korea,(direct),6,0,0.0,0,0,6,4,1,0,1,0,0,0.6666666666666666,0.16666666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 없음,0,0
D093,2026-09-05,토스 관측,mobile,South Korea,(direct),19,1,0.05263157894736842,1,1,18,4,2,1,0,0,11,0.21052631578947367,0.10526315789473684,0.5789473684210527,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,False,저밀도+의도행동 있음,0,0
