device_label,split_segment,channel_segment,early_tracked_events,early_actions,deliberate_share,later_active,channel_raw_rank,early_actions_raw_rank,early_tracked_raw_rank,deliberate_share_raw_rank,refined_behavior,refined_behavior_plus_named_events,refined_plus_profile,selected_score,selected_rank
D045,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0,0,5,0.0,0.2550528211307374,0.22309455612687334,0.21675490519676235,0.2550528211307374,41
D046,고밀도+의도행동 많음,토스 관측,111,55,0.4954954954954955,False,1,55,111,0.4954954954954955,0.6764900178518565,0.3803651206663476,0.6369125028276025,0.6764900178518565,11
D047,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0,0,4,0.0,0.07808921470096576,0.07774549496494275,0.0644025480134415,0.07808921470096576,88
D048,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0,0,6,0.0,0.36191001807997153,0.28908099126600695,0.2136732089931779,0.36191001807997153,28
D049,고밀도+의도행동 적음,토스 관측,24,0,0.0,False,1,0,24,0.0,0.21644233453674083,0.1424334605539122,0.17589972246840074,0.21644233453674083,66
D050,고밀도+의도행동 많음,토스 관측,50,21,0.42,False,1,21,50,0.42,0.6254835066246557,0.7996868232107356,0.5543244130071617,0.6254835066246557,15
D051,고밀도+의도행동 적음,토스 관측,21,0,0.0,False,1,0,21,0.0,0.22222639458674895,0.15492468558455352,0.17313194965350948,0.22222639458674895,62
D052,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0,0,6,0.0,0.2203940749923423,0.29534730193529035,0.23631488635565392,0.2203940749923423,63
D053,저밀도+의도행동 없음,메인·웹만,16,0,0.0,False,0,0,16,0.0,0.15134593676041855,0.1708430074427045,0.10976930466230496,0.15134593676041855,71
D054,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0,0,3,0.0,0.03933755246884113,0.04577626159493186,0.03154877597362393,0.03933755246884113,93
D055,고밀도+의도행동 적음,토스 관측,29,4,0.1379310344827586,False,1,4,29,0.1379310344827586,0.5397695740817336,0.5716815609730694,0.505225619922052,0.5397695740817336,19
D056,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0,0,5,0.0,0.24883705024924627,0.21520894348195527,0.21251103419438547,0.24883705024924627,43
D057,저밀도+의도행동 없음,토스 관측,18,0,0.0,False,1,0,18,0.0,0.3522751747150201,0.33126399779776305,0.3040149616300678,0.3522751747150201,30
D058,고밀도+의도행동 많음,토스 관측,26,7,0.2692307692307692,False,1,7,26,0.2692307692307692,0.15747529248736172,0.12221179566444439,0.12265117203284738,0.15747529248736172,69
D059,저밀도+의도행동 없음,토스 관측,13,0,0.0,False,1,0,13,0.0,0.37527284039030157,0.3519784076321436,0.30523291410268466,0.37527284039030157,27
D060,저밀도+의도행동 없음,토스 관측,18,0,0.0,False,1,0,18,0.0,0.33508448942105445,0.3148670626583741,0.28301367218240736,0.33508448942105445,31
D061,저밀도+의도행동 없음,메인·웹만,8,0,0.0,False,0,0,8,0.0,0.6645636050740257,0.5460383504050172,0.6552015273061823,0.6645636050740257,12
D062,저밀도+의도행동 없음,토스 관측,12,0,0.0,False,1,0,12,0.0,0.08840516805232314,0.08104768994267372,0.058683780733633804,0.08840516805232314,76
D063,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0,0,4,0.0,0.08109642947645057,0.07914852842028341,0.041432049986144526,0.08109642947645057,83
D064,저밀도+의도행동 없음,토스 관측,12,0,0.0,False,1,0,12,0.0,0.2431729337408715,0.2547774141275822,0.1940669596464094,0.2431729337408715,45
D065,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0,0,6,0.0,0.22414451547807787,0.31142333763848934,0.24483224209523793,0.22414451547807787,61
D066,저밀도+의도행동 없음,토스 관측,16,0,0.0,False,1,0,16,0.0,0.23147681545976542,0.2451463393902075,0.19345068628220624,0.23147681545976542,56
D067,고밀도+의도행동 적음,토스 관측,61,5,0.081967213114754,False,1,5,61,0.081967213114754,0.7585490239168073,0.7994026002106993,0.7240196864126841,0.7585490239168073,9
D068,고밀도+의도행동 많음,토스 관측,90,38,0.4222222222222222,False,1,38,90,0.4222222222222222,0.7391481159141442,0.6038416241421651,0.6863797808306873,0.7391481159141442,10
D069,저밀도+의도행동 없음,토스 관측,11,0,0.0,False,1,0,11,0.0,0.25024273657523893,0.2614810940442983,0.19795133270131365,0.25024273657523893,42
D070,저밀도+의도행동 없음,토스 관측,13,0,0.0,False,1,0,13,0.0,0.3271872512081033,0.26727965553552857,0.22012103257554766,0.3271872512081033,34
D071,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0,0,5,0.0,0.2418388549791037,0.20898089213076548,0.2473947451586246,0.2418388549791037,47
D072,고밀도+의도행동 적음,메인·웹만,28,0,0.0,True,0,0,28,0.0,0.979807821602268,0.9731897029678201,0.9806876759413313,0.979807821602268,2
D073,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0,0,6,0.0,0.23315219654926733,0.3082119026158444,0.2490071677102046,0.23315219654926733,55
D074,고밀도+의도행동 적음,토스 관측,20,2,0.1,False,1,2,20,0.1,0.24286394033469985,0.16679336908329945,0.1808879002506265,0.24286394033469985,46
D075,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0,0,5,0.0,0.23753376123860673,0.2086455206959089,0.23786368366767385,0.23753376123860673,51
D076,고밀도+의도행동 많음,토스 관측,52,7,0.1346153846153846,False,1,7,52,0.1346153846153846,0.661482494319471,0.6946322717288109,0.6277746488151721,0.661482494319471,13
D077,저밀도+의도행동 없음,메인·웹만,7,0,0.0,False,0,0,7,0.0,0.4687124486484926,0.3632229252683888,0.467242659645517,0.4687124486484926,21
D078,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0,0,5,0.0,0.23778713836737084,0.20860702868400097,0.3442852930704651,0.23778713836737084,50
D079,고밀도+의도행동 많음,토스 관측,49,15,0.3061224489795918,False,1,15,49,0.3061224489795918,0.5157914392182547,0.2661612453805574,0.49940097787722315,0.5157914392182547,20
D080,고밀도+의도행동 적음,토스 관측,23,3,0.1304347826086956,False,1,3,23,0.1304347826086956,0.2912859739156177,0.35663917784713106,0.25386177035230767,0.2912859739156177,36
D081,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0,0,6,0.0,0.21904866607979906,0.2984395557307128,0.1965912814394519,0.21904866607979906,64
D082,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0,0,4,0.0,0.0810261145226174,0.0793032994780615,0.0650067540282895,0.0810261145226174,84
D083,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0,0,5,0.0,0.0736131741569916,0.12443650702269445,0.05367340636837313,0.0736131741569916,90
D084,고밀도+의도행동 많음,토스 관측,51,17,0.3333333333333333,False,1,17,51,0.3333333333333333,0.36122416068589464,0.10741661705183646,0.2845972806495983,0.36122416068589464,29
D085,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0,0,4,0.0,0.07865210184609445,0.07750059623172889,0.06324823036156146,0.07865210184609445,86
D086,저밀도+의도행동 없음,토스 관측,19,0,0.0,False,1,0,19,0.0,0.3754852892108088,0.3047753437838478,0.26762361497513065,0.3754852892108088,26
D087,저밀도+의도행동 없음,메인·웹만,3,0,0.0,False,0,0,3,0.0,0.039747615064803204,0.04623083839673167,0.03230028724224245,0.039747615064803204,91
D088,저밀도+의도행동 없음,토스 관측,14,0,0.0,False,1,0,14,0.0,0.2297689545267784,0.23939405380684345,0.18645004842396554,0.2297689545267784,58
D089,고밀도+의도행동 적음,토스 관측,28,4,0.1428571428571428,False,1,4,28,0.1428571428571428,0.3287528707137481,0.2481032908623943,0.2969284714865546,0.3287528707137481,33
D090,고밀도+의도행동 많음,토스 관측,58,18,0.3103448275862069,False,1,18,58,0.3103448275862069,0.6176797270366391,0.24004148354206767,0.530325187273657,0.6176797270366391,16
D091,저밀도+의도행동 없음,토스 관측,12,0,0.0,False,1,0,12,0.0,0.24140725655562292,0.25096168226267407,0.1921198374862864,0.24140725655562292,48
D092,저밀도+의도행동 없음,토스 관측,6,0,0.0,False,1,0,6,0.0,0.15780354837630559,0.12364905808232189,0.08457080981454952,0.15780354837630559,68
D093,저밀도+의도행동 있음,토스 관측,19,1,0.0526315789473684,False,1,1,19,0.0526315789473684,0.2830606697732708,0.24340140075788927,0.2399178192077866,0.2830606697732708,37
D094,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0,0,5,0.0,0.2443243751915198,0.20995256824306108,0.13909250522374095,0.2443243751915198,44
D095,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0,0,5,0.0,0.25915873815500423,0.2238489544126056,0.15127967345767043,0.25915873815500423,40
