device_label,split_segment,channel_segment,early_tracked_events,early_actions,deliberate_share,later_active,logistic_selected,complement_nb_alpha_0_1,complement_nb_alpha_0_5,complement_nb_alpha_1_0,bernoulli_nb_alpha_0_5,bernoulli_nb_alpha_1_0,gaussian_nb,decision_tree_depth_1,decision_tree_depth_2,extra_trees_shallow
D024,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.15536792683972442,2.3935314197932304e-05,2.4373440992678046e-05,2.4927581102422275e-05,5.648140299969754e-07,1.684474795356092e-06,1.8517266729021308e-13,0.08595881260435975,0.010893246187363835,0.14143564753156984
D025,저밀도+의도행동 없음,메인·웹만,5,0,0.0,False,0.16565738028746693,7.14343341044889e-05,7.195696161283108e-05,7.261620111996078e-05,9.951888496174156e-07,2.780159337947624e-06,1.4113235558336834e-11,0.09240075478946454,0.01790352686904411,0.1438725568193991
D026,저밀도+의도행동 없음,메인·웹만,7,0,0.0,True,0.12255245961548683,9.565378506438519e-06,9.754328702955832e-06,9.992187986029778e-06,1.8016499752934316e-05,1.9685369481139886e-05,5.472785476516766e-14,0.09378197938633752,0.041926057430701394,0.21494754766015092
D027,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.060093782889505024,0.0002471484624528937,0.0002488016077385423,0.0002509011486888959,2.707740142171991e-07,8.232731855988966e-07,2.023073367373548e-14,0.09478225143779576,0.0014814814814814814,0.11228891188997178
D028,저밀도+의도행동 없음,메인·웹만,6,0,0.0,False,0.24918257899384727,5.462268626537274e-05,5.462854726155571e-05,5.4638773317244985e-05,0.00040751414190813334,0.000304956997905178,4.353224448925526e-07,0.09927913730666894,0.10385424681411053,0.2515302511519153
D029,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.05741665383516332,0.0002629688030613893,0.00026431620256368475,0.00026604239694081564,6.360094511947338e-08,3.6011335777572576e-07,7.405451212786548e-16,0.08976763082136241,0.001379310344827586,0.09238947301540383
D030,저밀도+의도행동 없음,메인·웹만,19,0,0.0,False,0.18917846304051367,1.0613298800564733e-08,1.0153308887188593e-08,9.614687094261137e-09,0.0016762874360716975,0.0011068991482724218,6.682411320761882e-07,0.14114876734555068,0.13980105722539796,0.2931835547764829
D031,저밀도+의도행동 없음,토스 관측,14,0,0.0,False,0.17257012515037842,2.912071619678183e-08,3.1512958865230006e-08,3.417266633574803e-08,0.0005372307286757596,0.0003826056604595289,3.426807358616824e-07,0.1008017533294041,0.007865796831314074,0.22979410230591096
D032,고밀도+의도행동 많음,토스 관측,33,7,0.2121212121212121,False,0.07011092544798625,1.92015812031443e-07,2.0236127336363826e-07,2.150784555657486e-07,0.9394688932749805,0.9223937333512668,0.3320991318510742,0.22517978720364343,0.12650162662503858,0.3534605730444747
D033,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.05736124534920701,0.00033389356921046705,0.00033557867618597636,0.0003377191808916944,1.9836934383006129e-07,1.0397230386451976e-06,1.4527713061255132e-14,0.09224771803813221,0.0,0.1097821252265361
D034,저밀도+의도행동 없음,메인·웹만,4,0,0.0,False,0.05811768731338027,0.0002417867581679644,0.00024322521963563505,0.0002450575601712876,4.0629471076660013e-07,1.192157975597369e-06,1.4772969409138542e-14,0.09484742604477497,0.0015094339622641509,0.11683249093071904
D035,고밀도+의도행동 많음,토스 관측,50,9,0.18,False,0.22845775071591765,0.0025516650396135475,0.0020604184396784196,0.0016147866069171088,0.9990120923522819,0.998113880511103,0.40174843955532646,0.2850251717538348,0.17738911208643715,0.47277249242423464
