at,session_id,client_id,variant,arm,trigger,p,intervene,model_version,origin,user_id,started_at,session_updated_at,play_sec,sec_after_event,survived_60s,intervene_bool
2026-09-09 04:07:28.434738+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.13069613658889667,False,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,2117,1,False
2026-09-09 04:07:30.131613+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.15932064287191738,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,2115,1,True
2026-09-09 04:07:53.437916+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.14788243829265518,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,2092,1,True
2026-09-09 04:07:54.271116+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.14728706470747327,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,2091,1,True
2026-09-09 04:11:46.420916+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.16882372082028868,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1859,1,True
2026-09-09 04:11:49.878491+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.1792341413092031,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1855,1,True
2026-09-09 04:11:50.865502+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.17847449112677924,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1854,1,True
2026-09-09 04:11:52.001569+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.17907724927200777,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1853,1,True
2026-09-09 04:13:53.416476+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.17168427833135935,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1732,1,True
2026-09-09 04:13:54.047511+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.14173733881632117,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1731,1,True
2026-09-09 04:13:57.521825+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.1383690689923365,False,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1728,1,False
2026-09-09 04:14:00.533484+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.15781669514935548,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1725,1,True
2026-09-09 04:14:03.538434+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.16699899645051822,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1722,1,True
2026-09-09 04:14:05.017984+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.16095771362500993,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1720,1,True
2026-09-09 04:14:07.427327+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.16348185071410767,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1718,1,True
2026-09-09 04:14:08.242278+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.172628262165242,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1717,1,True
2026-09-09 04:14:09.237077+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.1729579124948359,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1716,1,True
2026-09-09 04:16:28.916935+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.16128125223607262,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1576,1,True
2026-09-09 04:16:29.910917+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.12841796861027316,False,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1575,1,False
2026-09-09 04:16:59.116607+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.15689746426930318,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1546,1,True
2026-09-09 04:16:59.892348+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.15160082086642762,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1545,1,True
2026-09-09 04:17:01.877901+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.14864891908785696,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1543,1,True
2026-09-09 04:17:03.252318+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.1685145147237158,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1542,1,True
2026-09-09 04:17:30.503159+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.10203334966483206,False,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1515,1,False
2026-09-09 04:17:31.597744+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.12557807887031408,False,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1514,1,False
2026-09-09 04:17:32.684723+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.12557807887031408,False,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1512,1,False
2026-09-09 04:17:34.803725+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.13805851201816682,False,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1510,1,False
2026-09-09 04:17:48.236321+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.17482625122616963,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1497,1,True
2026-09-09 04:17:49.299880+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.17482625122616963,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1496,1,True
2026-09-09 04:19:03.872961+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.14673102360692236,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1421,1,True
2026-09-09 04:19:05.007173+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.1266054058761274,False,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1420,1,False
2026-09-09 04:19:07.655661+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.1413371435368241,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1417,1,True
2026-09-09 04:19:08.552377+00:00,sess-i14tcd55mfsmttktaei,c-530d5746-aad0-4dd7-b3f4-50abb3ad39a5,beta_B,treat,quest,0.14635636589016407,True,2026-09-06T14:21:45Z,https://calmforest.cloud,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 04:06:15.795000+00:00,2026-09-09 04:42:45.613000+00:00,2190,1417,1,True
