session_id,arm,variant,user_id,first_at,last_session_updated_at,event_count,any_intervene,survived_60s,p_max
sess-nsbzaxgdu98mtth6roh,control,beta_A,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-09 02:24:53.050723+00:00,2026-09-09 02:29:06.175000+00:00,17,True,1,0.4483174799042497
sess-nvne9704hxfmtzdr65m,treat,beta_B,62b2b0ac-deaf-4e16-81c9-4983aee910c9,2026-09-13 05:35:35.505572+00:00,2026-09-13 05:49:18.870000+00:00,45,True,1,0.4269384037919268
sess-o2gvp2v15pmtwpjrdl,control,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-11 08:42:28.615791+00:00,2026-09-11 08:52:26.772000+00:00,19,True,1,0.4778845681653939
sess-o91vvemlsnmtzg145n,control,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-13 06:40:52.387366+00:00,2026-09-13 07:10:17.108000+00:00,98,True,1,0.7168094450198363
sess-oh7gqrcaidamtwm502y,control,beta_A,e449a249-1fea-49e0-9cda-615810f132ca,2026-09-11 07:06:58.761145+00:00,2026-09-11 07:38:12.045000+00:00,82,True,1,0.4258858692298013
sess-p4o101eeffkmttrsc6w,control,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 07:21:47.182616+00:00,2026-09-09 07:22:34.392000+00:00,1,True,0,0.4696290988115235
sess-pdvkd111ddmu0v2t2l,control,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-14 06:28:17.882602+00:00,2026-09-14 06:47:21.664000+00:00,5,True,1,0.39523248959425716
sess-q17zdj5c0wfmtttfohw,control,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-09 08:07:55.253475+00:00,2026-09-09 08:25:17.451000+00:00,1,False,1,0.3599983194552338
sess-q8q6icr614jmtv459tz,control,beta_B,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,2026-09-10 05:55:31.431000+00:00,2026-09-10 06:56:28.264000+00:00,38,True,1,0.45831246894757705
sess-qallrhgm64mtzrw75x,treat,beta_A,d7fa8f5f-3fd5-45fb-93c4-16c35e8af6fd,2026-09-13 12:13:22.041493+00:00,2026-09-13 12:46:01.220000+00:00,95,True,1,0.18238094829635523
sess-qfph4gtswvcmtv7guf0,treat,beta_B,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,2026-09-10 07:28:30.176510+00:00,2026-09-11 08:41:46.550000+00:00,14,True,1,0.3394943596143409
