tester,variant,grp,map_order,user_id,day,sessions,play_min,diary_written,q3,active,diary,both
T06,beta_B,B,sea_first,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,6,2,36.05,1,3.0,True,True,True
T06,beta_B,B,sea_first,e9e102ad-dc26-4d4f-9aab-0c8b2df0e925,7,5,30.116666666666667,1,2.0,True,True,True
T07,beta_B,B,mist_first,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,1,2,34.233333333333334,0,,True,False,False
T07,beta_B,B,mist_first,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,2,2,69.56666666666666,1,4.0,True,True,True
T07,beta_B,B,mist_first,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,3,3,1100.0166666666667,1,5.0,True,True,True
T07,beta_B,B,mist_first,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,4,0,0.0,1,4.0,False,True,False
T07,beta_B,B,mist_first,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,5,3,57.8,1,5.0,True,True,True
T07,beta_B,B,mist_first,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,6,4,84.93333333333334,0,,True,False,False
T07,beta_B,B,mist_first,96ce06d2-f9f0-4eaa-ae7e-f85a84b100b5,7,2,2.2666666666666666,0,,True,False,False
T08,beta_B,B,sea_first,867ef5fa-448b-44e3-9b48-a2738234b6f7,1,1,6.866666666666666,1,3.0,True,True,True
T08,beta_B,B,sea_first,867ef5fa-448b-44e3-9b48-a2738234b6f7,2,1,14.016666666666667,1,3.0,True,True,True
T08,beta_B,B,sea_first,867ef5fa-448b-44e3-9b48-a2738234b6f7,3,5,6.75,1,3.0,True,True,True
T08,beta_B,B,sea_first,867ef5fa-448b-44e3-9b48-a2738234b6f7,4,2,170.06666666666666,1,3.0,True,True,True
T08,beta_B,B,sea_first,867ef5fa-448b-44e3-9b48-a2738234b6f7,5,0,0.0,0,,False,False,False
T08,beta_B,B,sea_first,867ef5fa-448b-44e3-9b48-a2738234b6f7,6,1,8.7,1,4.0,True,True,True
T08,beta_B,B,sea_first,867ef5fa-448b-44e3-9b48-a2738234b6f7,7,1,39.416666666666664,1,4.0,True,True,True
