device_label,first_day,channel_segment,device,country_group,acquisition_source,early_tracked_events,early_actions,early_action_kinds,early_area_count,early_nature_events,early_fishing_sea_events,early_quest_social_events,early_craft_home_events,early_advanced_events,early_connect_fail,early_connect_ok,early_toss_login,early_login_screen,later_actions,later_action_kinds,later_area_count,later_nature_events,later_fishing_sea_events,later_quest_social_events,later_craft_home_events,later_advanced_events,later_new_nature_events,later_new_fishing_sea_events,later_new_quest_social_events,later_new_craft_home_events,later_new_advanced_events,later_active,later_new_area,later_quest_social,later_fishing_sea,later_nature,early_action_segment,early_area_segment,early_connection_segment,feature_boundary_violations,label_boundary_violations
D075,2026-09-04,메인·웹만,desktop,South Korea,(direct),5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 이벤트 없음,0,0
D076,2026-09-08,토스 관측,mobile,South Korea,(direct),52,7,5,3,5,0,1,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,6회 이상,2개 이상,토스 연결 실패 기록,0,0
D077,2026-09-11,메인·웹만,desktop,South Korea,(direct),7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 이벤트 없음,0,0
D078,2026-09-11,메인·웹만,desktop,South Korea,pwa,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 이벤트 없음,0,0
D079,2026-09-04,토스 관측,mobile,South Korea,(direct),49,15,6,2,5,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,6회 이상,2개 이상,토스 연결 성공만 기록,0,0
D080,2026-09-04,토스 관측,mobile,South Korea,(direct),23,3,3,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,1~5회,2개 이상,토스 연결 성공만 기록,0,0
D081,2026-09-10,메인·웹만,desktop,Other,(direct),6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 이벤트 없음,0,0
D082,2026-09-05,메인·웹만,desktop,United States,(direct),4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 이벤트 없음,0,0
D083,2026-09-09,메인·웹만,mobile,Other,m.facebook.com,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 이벤트 없음,0,0
D084,2026-09-10,토스 관측,mobile,South Korea,(direct),51,17,3,2,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,6회 이상,2개 이상,토스 연결 이벤트 없음,0,0
D085,2026-09-11,메인·웹만,mobile,South Korea,ig,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 이벤트 없음,0,0
D086,2026-09-10,토스 관측,mobile,South Korea,(direct),19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 이벤트 없음,0,0
D087,2026-09-07,메인·웹만,desktop,United States,(direct),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 이벤트 없음,0,0
D088,2026-09-04,토스 관측,mobile,South Korea,(direct),14,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 성공만 기록,0,0
D089,2026-09-04,토스 관측,mobile,South Korea,(direct),28,4,2,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,1~5회,1개,토스 연결 성공만 기록,0,0
D090,2026-09-09,토스 관측,mobile,South Korea,(direct),58,18,9,4,9,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,6회 이상,2개 이상,토스 연결 이벤트 없음,0,0
D091,2026-09-04,토스 관측,mobile,South Korea,(direct),12,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 성공만 기록,0,0
D092,2026-09-09,토스 관측,mobile,South Korea,(direct),6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 실패 기록,0,0
D093,2026-09-05,토스 관측,mobile,South Korea,(direct),19,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,1~5회,1개,토스 연결 성공만 기록,0,0
D094,2026-09-10,메인·웹만,mobile,South Korea,(direct),5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 이벤트 없음,0,0
D095,2026-09-09,메인·웹만,mobile,South Korea,(direct),5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0회,0개,토스 연결 이벤트 없음,0,0
